Site,Code,Lat,Long
Compass Point,CP,,
Vessup Bay Salt Pond,VBSP,,
Vessup Bay Fringe,VB Fringe,,
Vessup Bay,VB,,
Oasis Cove,OC,,
Brewers Bay,BB,,
Great Pond,GP,,
Salt River Hemmers Bay,SRHB,,
Altona Lagoon,AL,,
St. Thomas East Reserves Fringe,STEER Fringe,,
St. Thomas East Reserves Basin,STEER Basin,,
St. Thomas East Reserves Ecotours,STEER ECO,,
Perserverance Bay,PB,,
Mandahl Bay,MB,,
Annabergh Bay,AB,,
Hurricane Hole Water Creek,HH WC,,
Hurricane Hole Princess Bay,HH PB,,
Hurricane Hole Otter Creek,HH OC,,
Salt River Bio Bay,SRBB,,
Salt River,SARI,,
Salt River Marina,SARI-MARINA,,
Reef bay,RB,,
Lameshur,LS,,
Turner Bay,TB,,
Magens Bay,MAGENS,,
