"","CollectionYear","CollectionMonth","CollectionSite","Count"
"1","2021","04","Oasis Cove",138
"2","2021","05","Oasis Cove",255
"3","2022","05","Oasis Cove",3
"4","2022","07","Perseverance Bay",27
"5","2022","08","Oasis Cove",53
"6","2022","09","Compass Point",5
"7","2022","09","Oasis Cove",59
"8","2023","02","Altona Lagoon",55
"9","2023","02","Annaberg Bay",85
"10","2023","02","Compass Point",168
"11","2023","02","Oasis Cove",230
"12","2023","02","Salt River",82
"13","2023","03","Compass Point",96
"14","2023","03","Salt River",107
"15","2023","06","Compass Point",15
"16","2023","06","Oasis Cove",55
"17","2023","06","Perseverance Bay",190
"18","2023","07","Altona Lagoon",25
"19","2023","07","Brewers Bay",1
"20","2023","07","Salt River",317
"21","2023","08","Mandahl Bay",57
"22","2023","08","Perseverance Bay",43
"23","2023","08","STEER",4
"24","2023","09","Compass Point",35
"25","2023","09","Oasis Cove",24
"26","2023","09","Perseverance Bay",535
"27","2023","10","Magens Bay",26
"28","2023","10","Perseverance Bay",71
"29","2024","01","Oasis Cove",42
"30","2024","01","Perseverance Bay",438
"31","2024","02","Perseverance Bay",447
"32","2024","04","Perseverance Bay",150
"33","2024","05","Range Cay",1
"34","2024","06","Brewers Bay",20
"35","2024","06","Compass Point",135
"36","2024","06","Perseverance Bay",49
"37","2024","07","STEER",13
"38","2024","08","Mandahl Bay",93
"39","2024","09","Annaberg Bay",119
"40","2024","09","Brewers Bay",44
"41","2024","09","Compass Point",18
"42","2024","09","Oasis Cove",138
"43","2024","09","Perseverance Bay",130
"44","2024","10","Compass Point",54
"45","2024","10","Mandahl Bay",1
"46","2024","10","Oasis Cove",96
"47","2024","10","Perseverance Bay",46
"48","2024","10","Vessup Bay",10
